"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 23 22:37:08 GMT 2024","Sat Mar 23 22:37:21 GMT 2024","13267","","Deck Management","","User can create a new board","","User can create a new board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:44:25 GMT 2024","Sat Mar 23 22:44:30 GMT 2024","5364","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:43:54 GMT 2024","Sat Mar 23 22:44:08 GMT 2024","14174","","US-002 - Upload/Edit/Delete File Module Functionality","","User can see the total number of files and folders under the files list table","","User can see the total number of files and folders under the files list table","  Agile story : As a user, I should be able to upload a file, move or delete any selected file under the Files module"
"passed","Sat Mar 23 22:41:09 GMT 2024","Sat Mar 23 22:41:24 GMT 2024","15000","","Deck Management","","User can assign a card to themselves","","User can assign a card to themselves","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:36:34 GMT 2024","Sat Mar 23 22:36:54 GMT 2024","20302","","Deck Management","","User can create a new board","","User can create a new board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:40:55 GMT 2024","Sat Mar 23 22:41:09 GMT 2024","14687","","Deck Management","","User can assign a card to themselves","","User can assign a card to themselves","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:39:56 GMT 2024","Sat Mar 23 22:40:10 GMT 2024","14196","","Deck Management","","User can add a new card on any list on the current board","","User can add a new card on any list on the current board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:39:27 GMT 2024","Sat Mar 23 22:39:41 GMT 2024","14465","","Deck Management","","User can add a new card on any list on the current board","","User can add a new card on any list on the current board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:40:24 GMT 2024","Sat Mar 23 22:40:40 GMT 2024","15311","","Deck Management","","User can assign a card to themselves","","User can assign a card to themselves","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:42:55 GMT 2024","Sat Mar 23 22:43:09 GMT 2024","14112","","Add File To Favorites Rename Add Comment","","","","","  As a user, I should be able to add a file to favorites,
  rename any file and give some comments on any file."
"passed","Sat Mar 23 22:38:58 GMT 2024","Sat Mar 23 22:39:12 GMT 2024","14109","","Deck Management","","User can add a new card on any list on the current board","","User can add a new card on any list on the current board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:37:48 GMT 2024","Sat Mar 23 22:38:02 GMT 2024","13775","","Deck Management","","User can create a new list of card under any board","","User can create a new list of card under any board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:44:30 GMT 2024","Sat Mar 23 22:44:35 GMT 2024","5201","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:38:31 GMT 2024","Sat Mar 23 22:38:44 GMT 2024","13649","","Deck Management","","User can create a new list of card under any board","","User can create a new list of card under any board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:36:54 GMT 2024","Sat Mar 23 22:37:08 GMT 2024","13300","","Deck Management","","User can create a new board","","User can create a new board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:40:40 GMT 2024","Sat Mar 23 22:40:55 GMT 2024","15150","","Deck Management","","User can assign a card to themselves","","User can assign a card to themselves","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:45:26 GMT 2024","Sat Mar 23 22:45:35 GMT 2024","8959","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:42:26 GMT 2024","Sat Mar 23 22:42:41 GMT 2024","14513","","Add File To Favorites Rename Add Comment","","","","","  As a user, I should be able to add a file to favorites,
  rename any file and give some comments on any file."
"passed","Sat Mar 23 22:39:12 GMT 2024","Sat Mar 23 22:39:27 GMT 2024","14318","","Deck Management","","User can add a new card on any list on the current board","","User can add a new card on any list on the current board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:44:50 GMT 2024","Sat Mar 23 22:45:00 GMT 2024","10096","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:41:37 GMT 2024","Sat Mar 23 22:41:53 GMT 2024","15621","","Add File To Favorites Rename Add Comment","","","","","  As a user, I should be able to add a file to favorites,
  rename any file and give some comments on any file."
"passed","Sat Mar 23 22:45:13 GMT 2024","Sat Mar 23 22:45:20 GMT 2024","6402","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:39:41 GMT 2024","Sat Mar 23 22:39:56 GMT 2024","14767","","Deck Management","","User can add a new card on any list on the current board","","User can add a new card on any list on the current board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:44:08 GMT 2024","Sat Mar 23 22:44:18 GMT 2024","9638","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:44:45 GMT 2024","Sat Mar 23 22:44:50 GMT 2024","5592","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:44:18 GMT 2024","Sat Mar 23 22:44:25 GMT 2024","6622","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:43:25 GMT 2024","Sat Mar 23 22:43:40 GMT 2024","15864","","US-002 - Upload/Edit/Delete File Module Functionality","","User can create a new folder","","User can create a new folder","  Agile story : As a user, I should be able to upload a file, move or delete any selected file under the Files module"
"passed","Sat Mar 23 22:37:21 GMT 2024","Sat Mar 23 22:37:35 GMT 2024","14033","","Deck Management","","User can create a new board","","User can create a new board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"failed","Sat Mar 23 22:43:09 GMT 2024","Sat Mar 23 22:43:25 GMT 2024","15396","","US-002 - Upload/Edit/Delete File Module Functionality","","User can upload a file","","User can upload a file","  Agile story : As a user, I should be able to upload a file, move or delete any selected file under the Files module"
"passed","Sat Mar 23 22:41:53 GMT 2024","Sat Mar 23 22:42:10 GMT 2024","17536","","Add File To Favorites Rename Add Comment","","","","","  As a user, I should be able to add a file to favorites,
  rename any file and give some comments on any file."
"passed","Sat Mar 23 22:37:35 GMT 2024","Sat Mar 23 22:37:48 GMT 2024","12954","","Deck Management","","User can create a new board","","User can create a new board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:41:24 GMT 2024","Sat Mar 23 22:41:37 GMT 2024","12520","","Add File To Favorites Rename Add Comment","","","","","  As a user, I should be able to add a file to favorites,
  rename any file and give some comments on any file."
"passed","Sat Mar 23 22:42:10 GMT 2024","Sat Mar 23 22:42:26 GMT 2024","16305","","Add File To Favorites Rename Add Comment","","","","","  As a user, I should be able to add a file to favorites,
  rename any file and give some comments on any file."
"passed","Sat Mar 23 22:42:41 GMT 2024","Sat Mar 23 22:42:55 GMT 2024","14024","","Add File To Favorites Rename Add Comment","","","","","  As a user, I should be able to add a file to favorites,
  rename any file and give some comments on any file."
"passed","Sat Mar 23 22:45:20 GMT 2024","Sat Mar 23 22:45:26 GMT 2024","6813","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:45:07 GMT 2024","Sat Mar 23 22:45:13 GMT 2024","6456","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:45:00 GMT 2024","Sat Mar 23 22:45:07 GMT 2024","6211","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:40:10 GMT 2024","Sat Mar 23 22:40:24 GMT 2024","14298","","Deck Management","","User can assign a card to themselves","","User can assign a card to themselves","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:38:16 GMT 2024","Sat Mar 23 22:38:31 GMT 2024","14807","","Deck Management","","User can create a new list of card under any board","","User can create a new list of card under any board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:38:44 GMT 2024","Sat Mar 23 22:38:58 GMT 2024","13863","","Deck Management","","User can create a new list of card under any board","","User can create a new list of card under any board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:38:02 GMT 2024","Sat Mar 23 22:38:16 GMT 2024","14157","","Deck Management","","User can create a new list of card under any board","","User can create a new list of card under any board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:43:40 GMT 2024","Sat Mar 23 22:43:54 GMT 2024","13826","","US-002 - Upload/Edit/Delete File Module Functionality","","User can delete any selected item from its three dots menu","","User can delete any selected item from its three dots menu","  Agile story : As a user, I should be able to upload a file, move or delete any selected file under the Files module"
"passed","Sat Mar 23 22:44:35 GMT 2024","Sat Mar 23 22:44:45 GMT 2024","9529","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
